"taxa","family","Trait_code","Long_adult_lifespan","High_female_dispersal","Strong_adult_flying_capacity","Common_occurrence_in_drift","Strong_swimming_ability","Desiccation_resistance_forms","Body_armouring","Plastron_spiracle_respiration","Low_rheophily"
"Psilometriocnemus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Paraleptophlebia","Leptophlebiidae",1,0,0,0,1,0,0,0,0,0
"Stictochironomus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Paratanytarsus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Eukiefferiella","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Tipula","Tipulidae",2,0,0,0,0,0,1,0,0,0
"Bezzia","Ceratopogonidae",2,0,0,0,0,0,1,0,1,0
"Cricotopus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Baetis","Baetidae",1,0,0,0,1,1,0,0,0,0
"Micropsectra","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Gammarus","Gammaridae",1,1,0,0,1,1,0,0,0,0
"Simulium","Simuliidae",1,0,0,1,1,0,0,0,0,0
"Diplocladius","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Caenis","Caenidae",1,0,1,0,1,0,0,0,0,1
"Gyraulus","Planorbidae",2,1,0,0,0,0,1,1,1,1
"Tvetnia","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Optioservus","Elmidae",3,1,0,0,0,0,1,0,0,0
"Corynoneura","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Paraphaenocladius","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Chironomus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Pseudosmittia","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Cladotanytarsus","Chironomidae",3,0,1,0,1,0,1,0,0,1
"Ceratopsyche","Hydropsychidae",1,1,1,1,1,0,0,0,0,0
"Ochrotrichia","Hydroptilidae",1,0,1,0,1,0,0,0,0,0
"Paratendipes","Chironomidae",3,0,1,0,1,0,1,0,0,1
